Index,Company Id,Company,Website,Country,Description,Founded,Industry,Number of employees
1,10d333BC762194e,Asus,https://greer.com/,Guatemala,Inverse tangible project,1987,Veterinary,1481
2,cb2cA9d2617EAEd,Alcatel,https://www.lozano.biz/,Monaco,Multi-layered reciprocal data-warehouse,1997,Music,5663
3,c85dcD43b2Ddf2d,QMobile,https://www.schmidt-ayala.biz/,Montenegro,Re-contextualized human-resource framework,1984,Information Technology / IT,8380
4,b994BA0cc5d9f62,Spice,http://www.castro.com/,Hong Kong,Grass-roots static protocol,2004,Farming,691
5,FBC5eEbb4dB4e2B,HTC,http://www.solomon.com/,Madagascar,Digitized 3rdgeneration frame,1981,Luxury Goods / Jewelry,7060
6,BEeDa5a18EE15f1,NIU,http://greer.com/,Afghanistan,Cross-group cohesive extranet,1982,Mining / Metals,5051
7,B340E26bFa457bA,Samsung,http://www.yu.net/,North Macedonia,Organic stable emulation,2020,Internet,7068
8,69CEA0CB51E0E4a,Doogee,https://brooks-day.com/,Saint Martin,Distributed mission-critical leverage,2008,Information Technology / IT,7023
9,Ff9eC3fCcc4bd3f,Doogee,http://www.tucker.info/,Portugal,Polarized well-modulated Local Area Network,2007,Textiles,3985
10,ffeBBADeb72be2B,Spice,http://www.greer-shaw.com/,Liechtenstein,Multi-tiered 6thgeneration core,1993,Online Publishing,2896
11,D0Aa705Cc2ddFeF,Philips,http://cervantes-newton.net/,Tanzania,Robust human-resource model,2007,Investment Management / Hedge Fund / Private Equity,9675
12,CBf0Ee38AB4b65e,Amazon,https://li-lang.info/,Montserrat,Seamless disintermediate knowledge user,2009,Consumer Services,9075
13,1bbCfad00Dd00B9,Nokia,http://www.blair-guerrero.com/,New Zealand,Streamlined cohesive alliance,2008,Airlines / Aviation,8500
14,B5ab682fF80ABB0,Apple,https://www.montes-briggs.com/,American Samoa,Reverse-engineered next generation Graphical User Interface,1985,Renewables / Environment,423
15,39cc8a699ACB34A,Energizer,https://www.lara.com/,Mexico,Focused analyzing collaboration,1998,Security / Investigations,4129
16,c28C737c21D9bdB,Microsoft,http://www.padilla.com/,Mexico,Cross-group responsive Internet solution,2019,Outsourcing / Offshoring,9915
17,1d64eAeefd65359,YU,https://www.obrien.net/,Greece,Self-enabling real-time analyzer,1991,Defense / Space,383
18,a99c2a2B38D8B86,Philips,https://www.sharp.net/,Madagascar,Ergonomic contextually-based functionalities,2000,Automotive,1626
19,BcC14F0a9C1bFAd,LG,http://www.pennington.org/,Oman,Re-contextualized encompassing service-desk,1975,Computer Networking,498
20,d1cF4722cB8dfd9,Nokia,http://shaffer.info/,Gambia,Synergistic composite software,1983,Farming,398
